City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Bilma,NE,71.26,clear sky,18.6853,12.9164,Expeditions Ténére voyages
230,Waggaman,US,64.4,overcast clouds,29.9185,-90.2109,Candlewood Suites Avondale-New Orleans
231,Faya,SA,64.4,clear sky,18.3851,42.4509,مقبرة ال مجمل
232,Caravelas,BR,78.19,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
235,Hithadhoo,MV,83.03,broken clouds,-0.6,73.0833,Scoop Guest House
236,Codrington,AU,75.25,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
238,Pauini,BR,73.78,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
239,Bandarbeyla,SO,75.38,clear sky,9.4942,50.8122,JABIR HOTEL
240,Naze,JP,71.6,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
241,Harper,LR,78.75,overcast clouds,4.375,-7.7169,Screensaver
242,Sunland Park,US,69.8,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
243,Mount Gambier,AU,66.2,clear sky,-37.8333,140.7667,Commodore on the Park
245,Jibuti,DJ,78.8,clear sky,11.5,42.5,Orchid Main Camp Goubet
246,Niquelandia,BR,73.22,scattered clouds,-14.4739,-48.4597,Hotel Suinã
249,Rotifunk,SL,77.67,scattered clouds,8.2333,-12.6833,
251,Campos Gerais,BR,63.57,scattered clouds,-21.235,-45.7586,Hotel Paraíso
255,Letlhakane,BW,67.66,broken clouds,-21.4167,25.5833,Motswedi Hotel P650
257,Goma,CD,60.73,broken clouds,-1.6792,29.2228,Hotel la Versailles Goma
259,Omboue,GA,73.36,overcast clouds,-1.5746,9.2618,Hotel Olako
261,Airai,TL,65.12,light rain,-8.9266,125.4092,Juvinal Martin
262,Alofi,NU,86.0,clear sky,-19.0595,-169.9187,Taloa Heights
266,Armacao De Pera,PT,62.6,broken clouds,37.1026,-8.357,VILA VITA Parc Resort & Spa
268,Pisco,PE,70.0,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
270,Abonnema,NG,80.6,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
271,Vao,NC,76.14,light rain,-22.6667,167.4833,Hotel Kou-Bugny
272,Bowen,AU,75.2,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
273,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
274,Kanye,BW,63.86,overcast clouds,-24.9667,25.3327,The Savanna Lodge
275,Marzuq,YE,66.79,scattered clouds,14.4,46.4667,
278,Itarema,BR,77.38,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
279,Dicabisagan,PH,81.21,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
280,Muisne,EC,77.22,overcast clouds,0.6,-80.0333,Quinta Samay
285,Mafinga,TZ,63.46,scattered clouds,-7.25,35.0667,
286,Paita,PE,77.0,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
287,Nsanje,MW,66.22,few clouds,-16.92,35.262,Nsanje Discovery Lodge
288,Inhambane,MZ,68.0,clear sky,-23.865,35.3833,Oceano
292,Tshikapa,CD,69.44,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
293,Avera,US,64.4,moderate rain,33.194,-82.5271,
295,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
299,Yamethin,MM,74.52,scattered clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
300,Poum,NC,79.68,overcast clouds,-20.2333,164.0167,Gîte kajeon
301,Hirara,JP,75.2,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
302,Pontianak,ID,75.2,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
303,Cuajinicuilapa,MX,87.69,scattered clouds,16.4667,-98.4167,Pozo S. XVI
304,Gisborne,NZ,61.0,scattered clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
