City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Minnedosa,CA,50.2453,-99.8436,33.8,34,1,10.36,clear sky
219,Asau,RO,46.4333,26.4,46.0,49,100,2.15,overcast clouds
220,Coahuayana,MX,18.7333,-103.6833,82.4,57,75,4.7,broken clouds
221,Birjand,IR,32.8663,59.2211,46.4,14,0,6.91,clear sky
222,Stephenville Crossing,CA,48.5,-58.4318,35.6,60,75,6.91,broken clouds
223,Catazaja,MX,17.725,-92.0167,93.2,49,20,7.81,few clouds
224,Rivers,CA,50.0308,-100.2403,33.8,34,1,10.36,clear sky
225,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,33.8,93,100,4.61,overcast clouds
226,Padang,ID,-0.9492,100.3543,73.4,88,75,1.14,broken clouds
227,Namatanai,PG,-3.6667,152.4333,84.34,66,94,4.0,overcast clouds
228,Bilma,NE,18.6853,12.9164,71.26,11,0,8.5,clear sky
229,Jerome,US,42.7241,-114.5186,55.4,16,1,5.61,clear sky
230,Waggaman,US,29.9185,-90.2109,64.4,88,90,18.41,overcast clouds
231,Faya,SA,18.3851,42.4509,64.4,48,0,4.61,clear sky
232,Caravelas,BR,-17.7125,-39.2481,78.19,85,33,7.14,scattered clouds
233,Talcahuano,CL,-36.7167,-73.1167,59.0,88,0,6.91,clear sky
234,Narok,KE,-1.0783,35.8601,56.64,92,59,3.87,broken clouds
235,Hithadhoo,MV,-0.6,73.0833,83.03,77,61,20.89,broken clouds
236,Codrington,AU,-38.2667,141.9667,75.25,37,47,10.71,scattered clouds
237,Torbay,CA,47.6666,-52.7314,28.0,68,20,4.61,few clouds
238,Pauini,BR,-7.7136,-66.9764,73.78,98,81,2.57,broken clouds
239,Bandarbeyla,SO,9.4942,50.8122,75.38,73,7,2.44,clear sky
240,Naze,JP,28.3667,129.4833,71.6,88,75,12.66,broken clouds
241,Harper,LR,4.375,-7.7169,78.75,90,86,6.87,overcast clouds
242,Sunland Park,US,31.7965,-106.58,69.8,11,1,11.5,clear sky
243,Mount Gambier,AU,-37.8333,140.7667,66.2,55,8,9.22,clear sky
244,Capao Bonito,BR,-24.0058,-48.3494,59.29,94,65,6.35,light rain
245,Jibuti,DJ,11.5,42.5,78.8,50,1,8.03,clear sky
246,Niquelandia,BR,-14.4739,-48.4597,73.22,71,36,2.19,scattered clouds
247,Phalombe,MW,-15.8064,35.6507,59.23,92,11,2.35,few clouds
248,Aykhal,RU,66.0,111.5,-14.37,96,100,14.0,overcast clouds
249,Rotifunk,SL,8.2333,-12.6833,77.67,85,45,1.88,scattered clouds
250,Lebu,CL,-37.6167,-73.65,57.42,92,74,13.69,broken clouds
251,Campos Gerais,BR,-21.235,-45.7586,63.57,89,30,2.48,scattered clouds
252,Lagoa,PT,39.05,-27.9833,56.5,63,11,9.44,few clouds
253,Nanortalik,GL,60.1432,-45.2371,32.45,86,89,7.63,overcast clouds
254,Magadan,RU,59.5667,150.8,24.84,86,95,2.53,overcast clouds
255,Letlhakane,BW,-21.4167,25.5833,67.66,51,72,7.63,broken clouds
256,Coihaique,CL,-45.5752,-72.0662,53.6,66,90,6.91,overcast clouds
257,Goma,CD,-1.6792,29.2228,60.73,90,61,2.62,broken clouds
258,Ust-Ilimsk,RU,58.0006,102.6619,13.57,91,94,10.13,overcast clouds
259,Omboue,GA,-1.5746,9.2618,73.36,91,100,2.75,overcast clouds
260,Casper,US,42.8666,-106.3131,50.0,21,1,8.05,clear sky
261,Airai,TL,-8.9266,125.4092,65.12,87,99,0.87,light rain
262,Alofi,NU,-19.0595,-169.9187,86.0,74,5,13.8,clear sky
263,Yar-Sale,RU,66.8333,70.8333,9.34,93,100,22.44,overcast clouds
264,Verkhoshizhemye,RU,58.011,49.1038,32.02,98,100,10.2,snow
265,Opuwo,NA,-18.0607,13.84,66.7,82,82,9.66,broken clouds
266,Armacao De Pera,PT,37.1026,-8.357,62.6,94,75,9.22,broken clouds
267,Hay River,CA,60.8156,-115.7999,32.0,74,100,5.75,overcast clouds
268,Pisco,PE,-13.7,-76.2167,70.0,73,40,23.02,scattered clouds
269,Mufumbwe,ZM,-13.6833,24.8,59.05,96,34,3.76,scattered clouds
270,Abonnema,NG,4.7084,6.7931,80.6,94,40,6.91,scattered clouds
271,Vao,NC,-22.6667,167.4833,76.14,76,100,20.45,light rain
272,Bowen,AU,-20.0167,148.2333,75.2,73,75,16.11,broken clouds
273,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,4.61,clear sky
274,Kanye,BW,-24.9667,25.3327,63.86,50,85,2.8,overcast clouds
275,Marzuq,YE,14.4,46.4667,66.79,21,26,4.94,scattered clouds
276,Norman Wells,CA,65.282,-126.8329,12.2,79,75,5.75,light snow
277,Waitati,NZ,-45.75,170.5667,54.0,67,1,21.0,clear sky
278,Itarema,BR,-2.9248,-39.9167,77.38,89,100,9.17,overcast clouds
279,Dicabisagan,PH,17.0818,122.4157,81.21,77,70,4.36,broken clouds
280,Muisne,EC,0.6,-80.0333,77.22,88,85,6.26,overcast clouds
281,Deer Lake,CA,49.1667,-57.4316,35.6,51,20,2.3,few clouds
282,Constitucion,CL,-35.3333,-72.4167,56.77,89,96,10.04,overcast clouds
283,Longyearbyen,SJ,78.2186,15.6401,28.4,74,75,5.75,light snow
284,Issoudun,FR,47.0,1.8333,55.99,76,0,2.3,clear sky
285,Mafinga,TZ,-7.25,35.0667,63.46,96,50,3.38,scattered clouds
286,Paita,PE,-5.0892,-81.1144,77.0,61,90,11.5,overcast clouds
287,Nsanje,MW,-16.92,35.262,66.22,85,19,1.79,few clouds
288,Inhambane,MZ,-23.865,35.3833,68.0,83,0,5.75,clear sky
289,Mantua,IT,45.1667,10.7833,55.0,73,3,1.99,clear sky
290,Asyut,EG,27.181,31.1837,55.4,62,0,5.3,clear sky
291,Walvis Bay,NA,-22.9575,14.5053,66.2,72,68,4.61,broken clouds
292,Tshikapa,CD,-6.4167,20.8,69.44,97,88,2.01,overcast clouds
293,Avera,US,33.194,-82.5271,64.4,80,90,10.65,moderate rain
294,Schiffweiler,DE,49.3667,7.1333,55.4,50,0,1.14,clear sky
